model,layer_name,shape,numel,kernel,bytes,cpu_ms,gpu_only_ms,h2d_gpu_d2h_ms,launch_count,iters
resnet18,bn1.weight,64,64,momentum_update,256,0.000012,0.002427,0.018917,1,100
resnet18,bn1.weight,64,64,residual_predmem_update,256,0.000021,0.002324,0.018909,1,100
resnet18,bn1.weight,64,64,threshold_scan,256,0.000069,0.002345,0.013091,1,100
resnet18,bn1.weight,64,64,bitmap_pack,64,0.000228,0.002253,0.013105,1,100
resnet18,bn1.weight,64,64,dominant_sign_pack,256,0.000226,0.002509,0.013017,1,100
resnet18,bn1.weight,64,64,decompress_reconstruct,256,0.000014,0.002324,0.018559,1,100
resnet18,layer2.0.bn2.bias,128,128,momentum_update,512,0.000022,0.002488,0.020451,1,100
resnet18,layer2.0.bn2.bias,128,128,residual_predmem_update,512,0.000039,0.002560,0.021472,1,100
resnet18,layer2.0.bn2.bias,128,128,threshold_scan,512,0.000143,0.002335,0.014626,1,100
resnet18,layer2.0.bn2.bias,128,128,bitmap_pack,128,0.000437,0.002284,0.014301,1,100
resnet18,layer2.0.bn2.bias,128,128,dominant_sign_pack,512,0.001317,0.004854,0.025924,1,100
resnet18,layer2.0.bn2.bias,128,128,decompress_reconstruct,512,0.000027,0.002673,0.022329,1,100
resnet18,layer3.0.shortcut.1.running_mean,256,256,momentum_update,1024,0.000040,0.002550,0.019550,1,100
resnet18,layer3.0.shortcut.1.running_mean,256,256,residual_predmem_update,1024,0.000081,0.002294,0.019540,1,100
resnet18,layer3.0.shortcut.1.running_mean,256,256,threshold_scan,1024,0.000311,0.002232,0.013477,1,100
resnet18,layer3.0.shortcut.1.running_mean,256,256,bitmap_pack,256,0.000857,0.002212,0.013187,1,100
resnet18,layer3.0.shortcut.1.running_mean,256,256,dominant_sign_pack,1024,0.000863,0.002530,0.013358,1,100
resnet18,layer3.0.shortcut.1.running_mean,256,256,decompress_reconstruct,1024,0.000038,0.002293,0.020090,1,100
resnet18,layer4.1.bn1.running_var,512,512,momentum_update,2048,0.000084,0.002427,0.020917,1,100
resnet18,layer4.1.bn1.running_var,512,512,residual_predmem_update,2048,0.000196,0.002345,0.020608,1,100
resnet18,layer4.1.bn1.running_var,512,512,threshold_scan,2048,0.000560,0.002273,0.013972,1,100
resnet18,layer4.1.bn1.running_var,512,512,bitmap_pack,512,0.001718,0.002222,0.013307,1,100
resnet18,layer4.1.bn1.running_var,512,512,dominant_sign_pack,2048,0.001719,0.002560,0.013776,1,100
resnet18,layer4.1.bn1.running_var,512,512,decompress_reconstruct,2048,0.000080,0.002263,0.020970,1,100
resnet18,layer4.0.conv2.weight,512x512x3x3,2359296,momentum_update,9437184,1.614987,0.031952,6.495129,1,100
resnet18,layer4.0.conv2.weight,512x512x3x3,2359296,residual_predmem_update,9437184,2.675609,0.042084,6.498284,1,100
resnet18,layer4.0.conv2.weight,512x512x3x3,2359296,threshold_scan,9437184,2.072285,0.019309,2.672817,1,100
resnet18,layer4.0.conv2.weight,512x512x3x3,2359296,bitmap_pack,2359296,6.508560,0.005340,0.644582,1,100
resnet18,layer4.0.conv2.weight,512x512x3x3,2359296,dominant_sign_pack,9437184,6.549602,0.020913,2.108081,1,100
resnet18,layer4.0.conv2.weight,512x512x3x3,2359296,decompress_reconstruct,9437184,1.561323,0.031724,6.487798,1,100
resnet50,bn1.weight,64,64,momentum_update,256,0.000014,0.002355,0.018984,1,100
resnet50,bn1.weight,64,64,residual_predmem_update,256,0.000020,0.002222,0.018434,1,100
resnet50,bn1.weight,64,64,threshold_scan,256,0.000069,0.002243,0.013143,1,100
resnet50,bn1.weight,64,64,bitmap_pack,64,0.000228,0.002222,0.013485,1,100
resnet50,bn1.weight,64,64,dominant_sign_pack,256,0.000228,0.002355,0.012744,1,100
resnet50,bn1.weight,64,64,decompress_reconstruct,256,0.000037,0.004588,0.028385,1,100
resnet50,layer1.2.bn3.weight,256,256,momentum_update,1024,0.000050,0.002550,0.019459,1,100
resnet50,layer1.2.bn3.weight,256,256,residual_predmem_update,1024,0.000078,0.002304,0.019391,1,100
resnet50,layer1.2.bn3.weight,256,256,threshold_scan,1024,0.000293,0.002304,0.013602,1,100
resnet50,layer1.2.bn3.weight,256,256,bitmap_pack,256,0.000857,0.002273,0.013279,1,100
resnet50,layer1.2.bn3.weight,256,256,dominant_sign_pack,1024,0.000863,0.002478,0.013442,1,100
resnet50,layer1.2.bn3.weight,256,256,decompress_reconstruct,1024,0.000039,0.002273,0.020062,1,100
resnet50,layer2.3.bn3.bias,512,512,momentum_update,2048,0.000077,0.002324,0.020410,1,100
resnet50,layer2.3.bn3.bias,512,512,residual_predmem_update,2048,0.000164,0.002437,0.020716,1,100
resnet50,layer2.3.bn3.bias,512,512,threshold_scan,2048,0.000459,0.002488,0.014048,1,100
resnet50,layer2.3.bn3.bias,512,512,bitmap_pack,512,0.001549,0.002191,0.013563,1,100
resnet50,layer2.3.bn3.bias,512,512,dominant_sign_pack,2048,0.001608,0.002488,0.014060,1,100
resnet50,layer2.3.bn3.bias,512,512,decompress_reconstruct,2048,0.000075,0.002202,0.020449,1,100
resnet50,layer4.0.shortcut.1.weight,2048,2048,momentum_update,8192,0.000325,0.002396,0.027433,1,100
resnet50,layer4.0.shortcut.1.weight,2048,2048,residual_predmem_update,8192,0.001072,0.002314,0.027752,1,100
resnet50,layer4.0.shortcut.1.weight,2048,2048,threshold_scan,8192,0.002166,0.002284,0.015286,1,100
resnet50,layer4.0.shortcut.1.weight,2048,2048,bitmap_pack,2048,0.006790,0.002212,0.013375,1,100
resnet50,layer4.0.shortcut.1.weight,2048,2048,dominant_sign_pack,8192,0.006853,0.002724,0.014875,1,100
resnet50,layer4.0.shortcut.1.weight,2048,2048,decompress_reconstruct,8192,0.000314,0.002212,0.025509,1,100
resnet50,layer4.0.conv2.weight,512x512x3x3,2359296,momentum_update,9437184,1.579496,0.031881,6.586841,1,100
resnet50,layer4.0.conv2.weight,512x512x3x3,2359296,residual_predmem_update,9437184,2.630234,0.041825,6.580615,1,100
resnet50,layer4.0.conv2.weight,512x512x3x3,2359296,threshold_scan,9437184,2.107814,0.018615,2.715725,1,100
resnet50,layer4.0.conv2.weight,512x512x3x3,2359296,bitmap_pack,2359296,6.508187,0.004575,0.651021,1,100
resnet50,layer4.0.conv2.weight,512x512x3x3,2359296,dominant_sign_pack,9437184,6.534380,0.020510,2.135386,1,100
resnet50,layer4.0.conv2.weight,512x512x3x3,2359296,decompress_reconstruct,9437184,1.569503,0.031752,6.555833,1,100
