model,from_threshold,to_threshold,added_cuda_layers,added_cuda_mb,closed_loop_delta_ms,rel_l2_delta,marginal_closed_loop_gain_pct,saturation_flag
resnet18,262144,65536,5,2.468750,44.874595,0.000431389,50.960047,no
resnet18,65536,16384,5,0.687500,16.013673,0.000106126,37.082600,no
resnet18,16384,8192,1,0.031250,1.460608,0.000004146,5.375788,no
resnet18,8192,4096,1,0.019531,1.624691,0.000003280,6.319416,no
resnet18,4096,2048,0,0.000000,-0.239492,0.000000000,-0.994369,no
resnet50,262144,65536,13,5.000000,112.755598,0.000434876,52.815416,no
resnet50,65536,16384,11,1.000000,31.189073,0.000073954,30.961709,no
resnet50,16384,8192,0,0.000000,0.594358,0.000000000,0.854635,no
resnet50,8192,4096,1,0.015625,1.452198,0.000000812,2.106133,no
resnet50,4096,2048,16,0.125000,2.019467,0.000001732,2.991860,no
